UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LSUPPVRS
100654,2,"R",405998,"R",147569,"R",93,"R",3694,"R",22257,"R",409692,"R",169919,"R",579611,"R",1051,"R",22344,"R",23395,"R",1,"R",963295,1,"R",316424,"R",210000,"R",931968,"R",206941,"R",1348909,"R",0,"R",96526,"R",96526,"R",2725154,2408730,"R ",1153,"R ",132, 1
100663,2,"R",1447268,"R",79937,"R",283,"R",224429,"R",0,"R",1671697,"R",80220,"R",1751917,"R",46500,"R",78594,"R",125094,"R",1,"R",4062200,1,"R",1213115,"R",144813,"R",3977788,"R",0,"R",4122601,"R",0,"R",561043,"R",561043,"R",9958959,8745844,"R ",10839,"R ",8580, 1
100690,2,"R",92698,"R",0,"R",21,"R",0,"R",0,"R",92698,"R",21,"R",92719,"R",191,"R",38155,"R",38346,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.,"A ",.,"A ",.,-2
100706,2,"R",336307,"R",383727,"R",131,"R",12629,"R",232,"R",348936,"R",384090,"R",733026,"R",5899,"R",7618,"R",13517,"R",0,"R",1188449,2,"Z",0,"R",32190,"R",1238577,"R",39876,"R",1310643,"R",3891,"R",47618,"R",51509,"R",2550601,2550601,"R ",1998,"R ",3450, 1
100724,2,"R",434772,"R",69699,"R",171,"R",44777,"R",0,"R",479549,"R",69870,"R",549419,"R",9373,"R",11073,"R",20446,"R",0,"R",1076386,1,"R",315271,"R",7654,"R",270901,"R",64726,"R",343281,"R",0,"R",3199,"R",3199,"R",1738137,1422866,"R ",1552,"R ",414, 1
100751,2,"R",4718369,"R",1442504,"R",940,"R",41556,"R",8840,"R",4759925,"R",1452284,"R",6212209,"R",95483,"R",14008,"R",109491,"R",6,"R",7779685,2,"Z",0,"R",2514000,"R",8244110,"R",646057,"R",11404167,"R",38867,"R",1646409,"R",1685276,"R",20869128,20869128,"R ",16807,"R ",10675, 1
100760,2,"R",28568,"R",8656,"R",5,"R",596,"R",0,"R",29164,"R",8661,"R",37825,"R",267,"R",622,"R",889,"R",2,"R",149647,1,"R",38030,"R",13598,"R",39618,"R",9500,"R",62716,"R",0,"R",9743,"R",9743,"R",260136,222106,"R ",0,"R ",0, 1
100812,2,"R",85691,"R",165181,"R",84,"R",326,"R",24128,"R",86017,"R",189393,"R",275410,"R",5556,"R",5243,"R",10799,"R",0,"R",614171,1,"R",197426,"R",0,"R",0,"R",149078,"R",149078,"R",0,"R",52812,"R",52812,"R",1013487,816061,"R ",133,"R ",84, 1
100830,2,"R",1100856,"R",730452,"R",158,"R",4186,"R",121,"R",1105042,"R",730731,"R",1835773,"R",9785,"R",7423,"R",17208,"R",0,"R",1005157,1,"R",276773,"R",80744,"R",459831,"R",91641,"R",632216,"R",111,"R",124584,"R",124695,"R",2038841,1762068,"R ",899,"R ",1813, 2
100858,2,"R",4666154,"R",964981,"R",239,"R",598207,"R",13002,"R",5264361,"R",978222,"R",6242583,"R",71303,"R",39671,"R",110974,"R",2,"R",4827954,1,"R",1369106,"R",942311,"R",6465609,"R",31260,"R",7439180,"R",14785,"R",1295051,"R",1309836,"R",14946076,13576970,"R ",19248,"R ",11495, 1
100937,2,"R",303362,"R",192305,"R",168,"R",48775,"R",0,"R",352137,"R",192473,"R",544610,"R",6680,"R",5945,"R",12625,"R",0,"R",475750,1,"R",90105,"R",67272,"R",338524,"R",5458,"R",411254,"R",2276,"R",90104,"R",92380,"R",1069489,979384,"R ",1181,"R ",1570, 1
101028,2,"R",40000,"R",0,"R",1,"R",750,"R",5,"R",40750,"R",6,"R",40756,"R",2200,"R",50,"R",2250,"R",0,"R",106015,1,"R",51475,"R",7522,"R",16825,"R",3860,"R",28207,"R",200,"R",196,"R",396,"R",186093,134618,"R ",36,"R ",35, 1
101073,2,"R",54400,"R",3500,"R",88,"R",2000,"R",500,"R",56400,"R",4088,"R",60488,"R",1400,"R",350,"R",1750,"R",0,"R",180162,1,"R",30000,"R",15000,"R",15000,"R",15000,"R",45000,"R",0,"R",5000,"R",5000,"R",260162,230162,"R ",0,"R ",5, 1
