id,library
1,ANCHOR POINT PUBLIC LIBRARY
2,CHUGIAK/EAGLE RIVER NEIGHBORHOOD LIBRARY
3,MULDOON NEIGHBORHOOD LIBRARY
4,SCOTT AND WESLEY GERRISH NEIGHBORHOOD LIBRARY
5,Z. J. LOUSSAC LIBRARY
6,MOUNTAIN VIEW NEIGHBORHOOD LIBRARY
7,ANDERSON VILLAGE LIBRARY
8,KUSKOKWIM CONSORTIUM LIBRARY
9,BIG LAKE PUBLIC LIBRARY
10,CANTWELL COMMUNITY LIBRARY
11,CHINIAK PUBLIC LIBRARY
12,COLD BAY PUBLIC LIBRARY
13,COOPER LANDING COMMUNITY LIBRARY
14,CORDOVA PUBLIC LIBRARY
15,CRAIG PUBLIC LIBRARY
16,IPNATCHIAQ LIBRARY
17,DELTA COMMUNITY LIBRARY
18,DILLINGHAM PUBLIC LIBRARY
19,EAGLE PUBLIC LIBRARY
20,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES
21,NORTH POLE BRANCH LIBRARY
22,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY
23,COPPER VALLEY COMMUNITY LIBRARY
24,GUSTAVUS PUBLIC LIBRARY
25,HAINES BOROUGH PUBLIC LIBRARY
26,TRI-VALLEY COMMUNITY LIBRARY
27,HOLLIS PUBLIC LIBRARY
28,HOMER PUBLIC LIBRARY
29,HOPE COMMUNITY LIBRARY
30,DOUGLAS PUBLIC LIBRARY
31,MENDENHALL VALLEY PUBLIC LIBRARY
32,JUNEAU PUBLIC LIBRARIES
33,KASILOF PUBLIC LIBRARY
34,KENAI COMMUNITY LIBRARY
35,KETCHIKAN PUBLIC LIBRARY
36,KODIAK PUBLIC LIBRARY
37,CHUKCHI CONSORTIUM LIBRARY
38,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY
39,MCGRATH COMMUNITY LIBRARY
40,CENTENNIAL LIBRARY
41,SOUTH NAKNEK PUBLIC LIBRARY
42,MARTIN MONSEN REGIONAL LIBRARY
43,NENANA PUBLIC LIBRARY
44,NINILCHIK COMMUNITY LIBRARY
45,KEGOAYAH KOZGA LIBRARY
46,NORTHWAY COMMUNITY/SCHOOL LIBRARY
47,PALMER PUBLIC LIBRARY
48,PELICAN PUBLIC LIBRARY
49,PETERSBURG PUBLIC LIBRARY
50,JESSIE WAKEFIELD MEMORIAL LIBRARY
51,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY
52,SELDOVIA PUBLIC LIBRARY
53,SEWARD COMMUNITY LIBRARY MUSEUM
54,KETTLESON MEMORIAL LIBRARY
55,SKAGWAY PUBLIC LIBRARY
56,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY
57,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER
58,TALKEETNA PUBLIC LIBRARY
59,TANANA COMMUNITY/SCHOOL LIBRARY
60,DERMOTT O'TOOLE MEMORIAL LIBRARY
61,TOK COMMUNITY LIBRARY
62,VALDEZ CONSORTIUM LIBRARY
63,WASILLA PUBLIC LIBRARY
64,WILLOW PUBLIC LIBRARY
65,IRENE INGLE PUBLIC LIBRARY
66,AKIAK SCHOOL/COMMUNITY LIBRARY
67,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY
68,KOYUK PUBLIC LIBRARY
69,TULUKSAK SCHOOL/COMMUNITY LIBRARY
70,ALAK COMMUNITY/SCHOOL LIBRARY
71,TIKIGAK SCHOOL/COMMUNITY LIBRARY
72,NUNAMIUT SCHOOL/COMMUNITY LIBRARY
73,MEADE RIVER SCHOOL/COMMUNITY LIBRARY
74,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY
75,NUIQSUT SCHOOL/COMMUNITY LIBRARY
76,KALI SCHOOL/COMMUNITY LIBRARY
77,TUZZY CONSORTIUM LIBRARY
78,AKIACHAK SCHOOL/COMMUNITY LIBRARY
79,ESTHER GREENWALD LIBRARY
80,MOOSE PASS PUBLIC LIBRARY
81,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY
82,SAND POINT COMMUNITY/SCHOOL LIBRARY
83,EGEGIK VILLAGE LIBRARY
84,TRAPPER CREEK PUBLIC LIBRARY
85,HOLY CROSS COMMUNITY/SCHOOL LIBRARY
86,OUZINKIE TRIBAL MEDIA CENTER
87,ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY
88,UNALASKA PUBLIC LIBRARY
89,ANIAK PUBLIC LIBRARY
90,HYDER PUBLIC LIBRARY
91,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY
92,BLACKWELL COMMUNITY/SCHOOL LIBRARY
93,DAVID LOUIS COMMUNITY/SCHOOL LIBRARY
94,LAKE MINCHUMINA COMMUNITY LIBRARY
95,IGIUGIG TRIBAL LIBRARY
96,COFFMAN COVE COMMUNITY LIBRARY
97,THORNE BAY PUBLIC LIBRARY
98,WHALE PASS COMMUNITY LIBRARY
99,TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER
100,SCAMMON BAY PUBLIC LIBRARY
101,KLUKWAN COMMUNITY/SCHOOL LIBRARY
102,CARL ELLIOTT REGIONAL LIBRARY SYSTEM
103,ARLEY PUBLIC LIBRARY
104,DOUBLE SPRINGS PUBLIC LIBRARY
105,HALEYVILLE PUBLIC LIBRARY
106,JASPER PUBLIC LIBRARY
107,SUMITON PUBLIC LIBRARY
108,CHEAHA REGIONAL LIBRARY
109,CHEAHA REGIONAL BOOKMOBILE
110,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY
111,ASHLAND CITY PUBLIC LIBRARY
112,SYLACUGA - B. B. COMER MEMORIAL LIBRARY
113,CHEROKEE COUNTY PUBLIC LIBRARY
114,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY
115,LINCOLN PUBLIC LIBRARY
116,LINEVILLE PUBLIC LIBRARY
117,HEFLIN - LUCILE MORGAN PUBLIC LIBRARY
118,OXFORD PUBLIC LIBRARY
119,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY
120,ABBEVILLE MEMORIAL LIBRARY
121,ARITON - DOT LANEY MEMORIAL LIBRARY
122,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY
123,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY
124,OZARK - DALE COUNTY PUBLIC LIBRARY
125,CLIO - ELTON B. STEPHENS LIBRARY
126,LOUISVILLE PUBLIC LIBRARY
127,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY
128,NEWTON PUBLIC LIBRARY
129,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY
